Designated Stop Location,Hours,Muni,Zone or White Zone,Status
3rd St at Palou Ave NE corner,all day,Muni,Zone,Approved
"7th St at Market St SW corner, street island",all day,Muni,Zone,Approved
7th St at Townsend St NE corner,all day,Muni,Zone,Approved
8th St at Market St SW corner,all day,Muni,Zone,Approved
8th St at Market St SW corner,6am-10am; 3pm-7pm,White,Zone,Approved
9th St at Market St SE corner,all day,Muni,Zone,Approved
16th St at Mission SE corner,all day,Muni,Zone,Approved
16th St at South Van Ness NW corner,6am-10am; 4pm-8pm,White,Zone,Approved
17th St at Wisconsin St NW corner,6am-10am; 4pm-8pm,White,Zone,Approved
18th St at Church St NE corner,all day,Muni,Zone,Approved
18th St at Church St SE corner,all day,Muni,Zone,Approved
18th St at Dolores St NW corner,all day,Muni,Zone,Approved
18th St at Dolores St SE corner,all day,Muni,Zone,Approved
18th St at Guerrero St SE corner,all day,Muni,Zone,Temporary
18th St at Mission St NW corner,all day,Muni,Zone,Approved
18th St at Pennsylvania Ave NE corner,all day,Muni,Zone,Approved
19th Ave at Winston Dr NE corner,all day,Muni,Zone,Approved
19th Ave at Buckingham St NW corner,all day,Muni,Zone,Approved
19th Ave at Kirkham St NE corner,all day,Muni,Zone,Approved
19th Ave at Kirkham St NW corner,all day,Muni,Zone,Approved
19th Ave at Noriega St SE corner,all day,Muni,Zone,Approved
19th Ave at Noriega St SW corner,all day,Muni,Zone,Approved
19th Ave at Wawona St NW corner,all day,Muni,Zone,Approved
19th Ave at Wawona St SE corner,all day,Muni,Zone,Approved
24th St at Church St NE corner,all day,Muni,Zone,Approved
24th St at Church St SW corner,all day,Muni,Zone,Approved
24th St at Guerrero St NE corner,all day,Muni,Zone,Approved
24th St at Noe St NE corner,all day,Muni,Zone,Approved
"25th St at Potrero Ave north side, mid-block",all day,Muni,Zone,Approved
30th St at Church St SW corner,all day,Muni,Zone,Approved
30th St at Sanchez St NE corner,all day,Muni,Zone,Approved
"100 O'Shaughnessy Blvd east side, mid-block",all day,Muni,Zone,Approved
Arguello Blvd at Geary Blvd NW corner,all day,Muni,Zone,Approved
